tau,R_X_empirica,R_X_teorica
-1.2984328109369792,-1.9975676796364552,-1.9975764342941287
-1.296432144048016,-1.987435923477368,-1.9874495404158639
-1.294431477159053,-1.9694554399170559,-1.969473861250724
-1.29243081027009,-1.9436972369658936,-1.943720385894679
-1.2904301433811272,-1.9102630381904053,-1.910290819319023
-1.2884294764921642,-1.8692848809894587,-1.8693171807196851
-1.286428809603201,-1.8209245951559017,-1.8209612821503833
-1.284428142714238,-1.7653731637828989,-1.7654140894985626
-1.2824274758252752,-1.7028499690388403,-1.7028949683277361
-1.2804268089363122,-1.6336019257894099,-1.6336508175646154
-1.2784261420473493,-1.557902506488269,-1.5579550944520875
-1.2764254751583861,-1.4760506611872435,-1.476106734618818
-1.2744248082694232,-1.3883696369310707,-1.3884289715303237
-1.2724241413804602,-1.2952057011991263,-1.2952680599834614
-1.2704234744914973,-1.196926774435476,-1.1969919086858325
-1.2684228076025343,-1.0939209770676261,-1.09398862732008
-1.2664221407135712,-0.9865950967520507,-0.9866649938308999
-1.2644214738246082,-0.875372981899599,-0.875444847987985
-1.2624208069356453,-0.7606938678250382,-0.7607674175687309
-1.2604201400466823,-0.6430106421310462,-0.6430855837710158
-1.2584194731577194,-0.5227880561769584,-0.5228640927062923
-1.2564188062687562,-0.4005008896954847,-0.4005777200360666
-1.2544181393797933,-0.27663207580564053,-0.27670939599987915
-1.2524174724908304,-0.15167079382654206,-0.15174829823941532
-1.2504168056018674,-0.026110537423870466,-0.026187919950675837
-1.2484161387129045,0.09955283428176986,0.09947587900692736
-1.2464154718239413,0.22482305494809135,0.22474683034771567
-1.2444148049349784,0.34920541085255963,0.3491302172097641
-1.2424141380460154,0.47220869460227427,0.47213482787834726
-1.2404134711570525,0.5933471449967564,0.5932748956666771
-1.2384128042680895,0.7121423653827907,0.7120720172933486
-1.2364121373791264,0.8281252129254058,0.8280570421805318
-1.2344114704901634,0.9408376513339369,0.9407719252114344
-1.2324108036012005,1.049834559726437,1.049771535630493
-1.2304101367122375,1.1546854904889141,1.1546254149424928
-1.2284094698232746,1.254976369187309,1.2549194768682468
-1.2264088029343114,1.350311129818967,1.3502576426437154
-1.2244081360453485,1.4403132789457096,1.440263405204129
-1.2224074691563855,1.5246273825314793,1.5245813160761708
-1.2204068022674226,1.6029204696127746,1.6028783891060818
-1.2184061353784597,1.6748833472585387,1.674845415480109
-1.2164054684894965,1.7402318216265011,1.740198184844089
-1.2144048016005335,1.798707820293805,1.7986786076997872
-1.2124041347115706,1.8500804114296454,1.85005573464541
-1.2104034678226077,1.8941467157850294,1.8941266684350777
-1.2084028009336447,1.9307327078980465,1.9307173652555205
-1.2064021340446816,1.959693903350565,1.9596833220554715
-1.2044014671557186,1.980915929362241,1.9809101472134303
-1.2024008002667557,1.994314976468477,1.9943140122901923
-1.2004001333777927,1.9998381294985752,1.9998419830819638
-1.1983994664888298,1.9974635765469868,1.9974722286667832
-1.1963987995998666,1.9872006951123997,1.9872141076186465
-1.1943981327109037,1.969090015064489,1.9691081310488623
-1.1923974658219407,1.9432030585845714,1.9432258026206044
-1.1903967989329778,1.9096420577122704,1.90966933616845
-1.1883961320440146,1.8685395506136504,1.868571252038095
-1.1863954651550517,1.8200578581652223,1.8200938537404048
-1.1843947982660887,1.7643884429208807,1.7644285869864533
-1.1823941313771258,1.7017511529933254,1.7017952836350068
-1.1803934644881628,1.632393353836006,1.6324412935381463
-1.1783927975991997,1.5565889513543334,1.556640507713459
-1.1763921307102367,1.4746373102040622,1.4746922767006345
-1.1743914638212738,1.3868620715486666,1.3869202283738902
-1.1723907969323109,1.2936098749445915,1.2936709898789618
-1.170390130043348,1.1952489894018745,1.1953128187419926
-1.1683894631543847,1.0921678590263164,1.0922341485562816
-1.1663887962654218,0.9847735689867068,0.9848420549901749
-1.1643881293764589,0.8734902378652712,0.8735606481741283
-1.162387462487496,0.7587573427402183,0.7588293978158294
-1.160386795598533,0.6410279836149301,0.641101397657494
-1.1583861287095698,0.5207670940478599,0.5208415761295807
-1.1563854618206069,0.39844960504967336,0.39852486026732936
-1.154384794931644,0.27455856949871527,0.27463430014080303
-1.152384128042681,0.14958325448181303,0.14965916120590453
-1.150383461153718,0.024017209094089643,0.024092992109684342
-1.1483827942647549,-0.10164368467162094,-0.10156832441954987
-1.146382127375792,-0.2269031702483812,-0.22682852989962007
-1.144381460486829,-0.3512665762980231,-0.3511929499059243
-1.142380793597866,-0.47424277025368616,-0.4741704476271483
-1.140380126708903,-0.5953460978871444,-0.5952753634502675
-1.13837945981994,-0.7140983012412352,-0.7140294329151392
-1.136378792930977,-0.830030407353143,-0.8299636754643986
-1.134378126042014,-0.9426845803096451,-0.9426202465296131
-1.132377459153051,-1.0516159293202318,-1.0515542456393412
-1.1303767922640882,-1.15639426566771,-1.1563354734088742
-1.128376125375125,-1.2566058015977817,-1.2565501304726983
-1.126375458486162,-1.3518547844384028,-1.351802451650372
-1.124374791597199,-1.4417650594954838,-1.4417162688924678
-1.1223741247082362,-1.5259815555528065,-1.5259364968338043
-1.1203734578192732,-1.6041716871096416,-1.6041305350875446
-1.11837279093031,-1.676026667818407,-1.6759895817422683
-1.1163721240413471,-1.741262729935358,-1.7412298528745793
-1.1143714571523842,-1.7996222449684987,-1.7995937032614047
-1.1123707902634212,-1.8508747410970767,-1.8508506438659809
